customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment,action_priority
52b8fc428690f8974a3d3ff3a162f7b7,52,2,377.78,5,5,4,05/05/2004,Champions,1
a9e4348b76f85861ada324e72dc92aca,188,2,377.15,4,5,4,04/05/2004,Champions,1
7cbf84875196ee1d04dc880ebbfaa7ef,161,2,376.42,4,5,4,04/05/2004,Champions,1
e9a6501768a8cc1125752e157da21cc1,88,2,376.03,5,5,4,05/05/2004,Champions,1
dc6502a8fc5ef5239994a36192e7a0ca,161,2,375.64,4,5,4,04/05/2004,Champions,1
9aae8213ff9bc04cc3ce48b85f43a173,143,3,373.74,4,5,4,04/05/2004,Champions,1
76f7d40948174f5cde0fcf8e6147b59d,171,2,373.6,4,5,4,04/05/2004,Champions,1
8f2fa110f45a5b5592f1593842b7e87d,131,3,371.48,5,5,4,05/05/2004,Champions,1
6a9e15d6fa8ce1cabf193c21aa577f64,73,3,370.61,5,5,4,05/05/2004,Champions,1
944779ed5e0464b49fbb2108382b0ddf,75,2,369.21,5,5,4,05/05/2004,Champions,1
cc47f99364c6a2b50a87c1bbb3e4f0f8,195,2,367.93,4,5,4,04/05/2004,Champions,1
8322ac348d132588470c5e8cc56b2bb8,210,2,367.79,4,5,4,04/05/2004,Champions,1
7ac70e85ee5c115fca1147ee0f59616e,89,2,367.59,5,5,4,05/05/2004,Champions,1
bba29bdc2bd4deeb7bba3c61ea98e012,95,2,367.12,5,5,4,05/05/2004,Champions,1
684fdd89d877968793cfb9c8f7ef7874,157,2,366.15,4,5,4,04/05/2004,Champions,1
5c2b5c09534917d37857557d37ed9205,122,2,366,5,5,4,05/05/2004,Champions,1
723bb8aa118da56cd7644aa593d197f9,117,2,365.77,5,5,4,05/05/2004,Champions,1
417021b1b4553c55daa22f17dbf37cdc,200,2,365.55,4,5,4,04/05/2004,Champions,1
a53c5bbb7be8b7a0f586d31c2bc499ef,54,2,365.32,5,4,4,05/04/2004,Champions,1
2f118e666b41b76a61d8cdbbc19f7735,109,2,364.63,5,4,4,05/04/2004,Champions,1
2a36404701b15c414647a2ec2102baba,100,2,364.63,5,4,4,05/04/2004,Champions,1
d2c30c00f9787faf7349ea558c153613,122,2,364.24,5,4,4,05/04/2004,Champions,1
7ad04c71bfca958e6f2ec44bce34e2da,58,2,363.74,5,4,4,05/04/2004,Champions,1
e68e1b61896163cdd7f8e07b2ae814c9,183,3,363.69,4,5,4,04/05/2004,Champions,1
779f7ec7155dfd74a8425e40c4d34497,120,2,363.69,5,4,4,05/04/2004,Champions,1
b3a34bbf1a1d11885918ad3ad99083ae,90,2,360.73,5,4,4,05/04/2004,Champions,1
5ff735d120cf4ec4adefd9766f703bf5,204,2,360.19,4,4,4,04/04/2004,Champions,1
b8beb7a6bfb7ed884386a8da46be8f8e,92,2,360.12,5,4,4,05/04/2004,Champions,1
bd86b1862fe796149a4d2af57bd85451,132,3,359.94,5,5,4,05/05/2004,Champions,1
e4971a4defaf07a1d7f2ff615a32c809,70,2,359.4,5,4,4,05/04/2004,Champions,1
f145d50379275ab9931636f83b0102eb,83,2,358.67,5,4,4,05/04/2004,Champions,1
d7bf7cfe09c3d0f40e1cabde2dc17fd4,111,2,358.49,5,4,4,05/04/2004,Champions,1
bf087cbc0138d7066e1c41d1a97973dd,111,2,358.44,5,4,4,05/04/2004,Champions,1
c0842fc6a034863db2d8479df8435492,163,2,356.85,4,4,4,04/04/2004,Champions,1
c76dbe63126a89c815fe9716acfdb4a1,151,2,356.46,4,4,4,04/04/2004,Champions,1
3d93772915efa454a89bf52047b0b285,104,2,355.31,5,4,4,05/04/2004,Champions,1
d9ad5b8ce105bd3baced4648987fbbfc,149,2,354.73,4,4,4,04/04/2004,Champions,1
795c1622cf7a53d63d324e862349d01c,61,4,354.23,5,5,4,05/05/2004,Champions,1
636443768344855307bfe5f2f2f6ba2e,91,2,353.78,5,4,4,05/04/2004,Champions,1
4ce423721c74231c174d0bb22367645a,130,2,353.42,5,4,4,05/04/2004,Champions,1
